trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
140,False,"{'a': 0.01, 'e': 0.24659696394160643}",30,13,12.211727853350162,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.2441432831534371}",20,8,23.69221506157087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.24171401689703645}",20,16,6.140543909827964,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.01, 'e': 0.23930892224375455}",25,6,9.459168202711552,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.01, 'e': 0.23692775868212176}",20,13,1.185695440556193,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.23457028809379765}",20,2,-13.273772842686395,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.01, 'e': 0.23223627472975883}",30,17,9.187692811273864,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.22992548518672384}",25,15,7.447012467702606,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
148,False,"{'a': 0.01, 'e': 0.22763768838381274}",20,9,19.547829196978736,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.22537265553943872}",20,9,5.355252847995524,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.22313016014842982}",25,5,12.691925123080223,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.2209099779593782}",20,11,5.29654845866243,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.21871188695221475}",30,10,14.70480182040531,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.21653566731600707}",20,10,13.121261150438173,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.21438110142697794}",20,11,-25.116572138163008,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.01, 'e': 0.21224797382674304}",25,15,14.67830343694339,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.01, 'e': 0.21013607120076472}",35,22,-20.1758598574868,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.01, 'e': 0.20804518235702046}",30,22,12.660018570052404,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.01, 'e': 0.20597509820488344}",30,0,-48.5370851529743,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
159,False,"{'a': 0.01, 'e': 0.20392561173421342}",20,2,20.641727068179417,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.01, 'e': 0.20189651799465538}",25,13,20.29796700630435,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.1998876140751445}",25,13,22.2299729765302,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.01, 'e': 0.19789869908361465}",20,13,15.698668388589963,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.01, 'e': 0.19592957412690934}",25,13,18.116083819710035,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.01, 'e': 0.19398004229089189}",30,10,22.071180111098066,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.01, 'e': 0.19204990862075408}",25,15,5.0067559293168395,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.01, 'e': 0.1901389801015205}",20,6,7.795901168384199,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.01, 'e': 0.1882470656387468}",20,15,-12.094311260271269,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.01, 'e': 0.18637397603940997}",30,3,30.204228174489515,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.01, 'e': 0.18451952399298926}",25,16,-37.70834204937742,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
170,False,"{'a': 0.01, 'e': 0.18268352405273466}",20,7,23.50456514005072,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.01, 'e': 0.1808657926171221}",30,11,4.754663022047813,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.01, 'e': 0.17906614791149322}",20,11,-24.71865160876488,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.01, 'e': 0.17728440996987782}",20,8,21.40630749689668,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.01, 'e': 0.17552040061699686}",20,12,13.948221749048368,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.17377394345044514}",30,11,37.87222673507292,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.17204486382305054}",20,8,9.822891366703557,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.01, 'e': 0.17033298882540943}",20,16,7.308753915315233,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.01, 'e': 0.1686381472685955}",30,20,21.335401351785777,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.01, 'e': 0.1669601696670407}",25,12,-10.138440855428641,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.16529888822158653}",20,11,16.47800514415225,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
